CMDLINE python ../train_lofar.py ../configs/lofar_detection/precomputed_iterations_v3_100kconstantLR.yaml /data1/mostertrij
MEM 1.625000 1606176015.3231
MEM 18.875000 1606176015.4235
MEM 37.812500 1606176015.5238
MEM 88.437500 1606176015.6242
MEM 118.312500 1606176015.7245
MEM 147.562500 1606176015.8249
MEM 173.062500 1606176015.9252
MEM 179.875000 1606176016.0255
MEM 191.000000 1606176016.1258
MEM 196.750000 1606176016.2260
MEM 204.750000 1606176016.3263
MEM 223.937500 1606176016.4266
MEM 233.687500 1606176016.5269
MEM 240.625000 1606176016.6271
MEM 247.187500 1606176016.7273
MEM 250.000000 1606176016.8274
MEM 251.625000 1606176016.9276
MEM 252.000000 1606176017.0278
MEM 254.625000 1606176017.1280
MEM 264.312500 1606176017.2282
MEM 270.750000 1606176017.3283
MEM 279.937500 1606176017.4285
MEM 286.375000 1606176017.5287
MEM 291.000000 1606176017.6289
MEM 292.000000 1606176017.7291
MEM 294.375000 1606176017.8292
MEM 297.125000 1606176017.9294
MEM 302.000000 1606176018.0296
MEM 307.375000 1606176018.1298
MEM 307.375000 1606176018.2300
MEM 307.375000 1606176018.3302
MEM 308.375000 1606176018.4304
MEM 310.812500 1606176018.5305
MEM 312.375000 1606176018.6307
MEM 318.875000 1606176018.7309
MEM 336.125000 1606176018.8311
MEM 336.125000 1606176018.9313
MEM 344.375000 1606176019.0314
MEM 352.625000 1606176019.1316
MEM 360.875000 1606176019.2318
MEM 373.250000 1606176019.3320
MEM 381.500000 1606176019.4321
MEM 385.625000 1606176019.5323
MEM 389.750000 1606176019.6325
MEM 398.000000 1606176019.7327
MEM 410.375000 1606176019.8329
MEM 418.625000 1606176019.9330
MEM 426.875000 1606176020.0332
MEM 426.875000 1606176020.1334
MEM 435.125000 1606176020.2336
MEM 438.812500 1606176020.3337
MEM 446.937500 1606176020.4341
MEM 455.187500 1606176020.5343
MEM 455.187500 1606176020.6345
MEM 463.437500 1606176020.7347
MEM 463.437500 1606176020.8348
MEM 475.812500 1606176020.9350
MEM 475.812500 1606176021.0352
MEM 484.062500 1606176021.1354
MEM 492.312500 1606176021.2355
MEM 500.562500 1606176021.3357
MEM 512.937500 1606176021.4359
MEM 521.187500 1606176021.5361
MEM 521.187500 1606176021.6363
MEM 529.437500 1606176021.7364
MEM 541.437500 1606176021.8366
MEM 569.437500 1606176021.9368
MEM 577.687500 1606176022.0370
MEM 577.687500 1606176022.1372
MEM 577.687500 1606176022.2373
MEM 577.687500 1606176022.3375
MEM 615.000000 1606176022.4377
MEM 615.000000 1606176022.5379
MEM 615.000000 1606176022.6380
MEM 615.000000 1606176022.7382
MEM 618.437500 1606176022.8384
MEM 651.000000 1606176022.9386
MEM 651.000000 1606176023.0387
MEM 651.000000 1606176023.1389
MEM 651.000000 1606176023.2391
MEM 659.812500 1606176023.3393
MEM 707.437500 1606176023.4395
MEM 716.500000 1606176023.5396
MEM 724.125000 1606176023.6398
MEM 724.125000 1606176023.7400
MEM 724.125000 1606176023.8402
MEM 724.125000 1606176023.9403
MEM 724.125000 1606176024.0405
MEM 724.125000 1606176024.1407
MEM 724.125000 1606176024.2409
MEM 724.125000 1606176024.3410
MEM 724.125000 1606176024.4412
MEM 724.125000 1606176024.5414
MEM 724.125000 1606176024.6416
MEM 724.125000 1606176024.7417
MEM 724.125000 1606176024.8419
MEM 724.125000 1606176024.9421
MEM 724.125000 1606176025.0423
MEM 724.125000 1606176025.1424
MEM 724.125000 1606176025.2426
MEM 724.125000 1606176025.3428
MEM 724.125000 1606176025.4430
MEM 724.125000 1606176025.5432
MEM 724.125000 1606176025.6433
MEM 724.125000 1606176025.7435
MEM 724.125000 1606176025.8437
MEM 724.125000 1606176025.9439
MEM 724.125000 1606176026.0440
MEM 724.125000 1606176026.1442
MEM 724.125000 1606176026.2444
MEM 724.125000 1606176026.3446
MEM 724.125000 1606176026.4447
MEM 724.125000 1606176026.5449
MEM 724.125000 1606176026.6451
MEM 724.125000 1606176026.7453
MEM 724.125000 1606176026.8455
MEM 724.125000 1606176026.9456
MEM 724.125000 1606176027.0458
MEM 724.125000 1606176027.1460
MEM 724.125000 1606176027.2462
MEM 724.125000 1606176027.3463
MEM 724.125000 1606176027.4465
MEM 724.125000 1606176027.5467
MEM 724.125000 1606176027.6469
MEM 724.125000 1606176027.7470
MEM 724.125000 1606176027.8472
MEM 724.125000 1606176027.9474
MEM 724.125000 1606176028.0476
MEM 724.125000 1606176028.1478
MEM 724.125000 1606176028.2480
MEM 724.125000 1606176028.3482
MEM 724.125000 1606176028.4483
MEM 724.125000 1606176028.5485
MEM 724.125000 1606176028.6487
MEM 724.625000 1606176028.7489
MEM 724.625000 1606176028.8490
MEM 724.625000 1606176028.9492
MEM 724.625000 1606176029.0494
MEM 724.625000 1606176029.1496
MEM 728.562500 1606176029.2498
MEM 728.562500 1606176029.3499
MEM 728.562500 1606176029.4501
MEM 728.562500 1606176029.5503
MEM 728.562500 1606176029.6505
MEM 728.562500 1606176029.7506
MEM 728.562500 1606176029.8508
MEM 728.562500 1606176029.9510
MEM 728.562500 1606176030.0512
MEM 728.562500 1606176030.1513
MEM 728.562500 1606176030.2515
MEM 728.562500 1606176030.3517
MEM 728.562500 1606176030.4519
MEM 728.562500 1606176030.5520
MEM 728.562500 1606176030.6525
MEM 728.562500 1606176030.7527
MEM 728.562500 1606176030.8528
MEM 728.562500 1606176030.9530
MEM 728.562500 1606176031.0532
MEM 728.562500 1606176031.1534
